year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,%totalvote,winning%,winningparty
2020,ALABAMA,AL,AUTAUGA,1001,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,7503,27770,20210622,TOTAL,0.270183651,0.714368023,REPUBLICAN
2020,ALABAMA,AL,AUTAUGA,1001,PRESIDENT,OTHER,OTHER,429,27770,20210622,TOTAL,0.015448326,0.714368023,REPUBLICAN
2020,ALABAMA,AL,AUTAUGA,1001,PRESIDENT,DONALD J TRUMP,REPUBLICAN,19838,27770,20210622,TOTAL,0.714368023,0.714368023,REPUBLICAN
2020,ALABAMA,AL,BALDWIN,1003,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,24578,109679,20210622,TOTAL,0.2240903,0.761713728,REPUBLICAN
2020,ALABAMA,AL,BALDWIN,1003,PRESIDENT,OTHER,OTHER,1557,109679,20210622,TOTAL,0.014195972,0.761713728,REPUBLICAN
2020,ALABAMA,AL,BALDWIN,1003,PRESIDENT,DONALD J TRUMP,REPUBLICAN,83544,109679,20210622,TOTAL,0.761713728,0.761713728,REPUBLICAN
2020,ALABAMA,AL,BARBOUR,1005,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4816,10518,20210622,TOTAL,0.457881727,0.766212371,REPUBLICAN
2020,ALABAMA,AL,BARBOUR,1005,PRESIDENT,OTHER,OTHER,80,10518,20210622,TOTAL,0.007606009,0.766212371,REPUBLICAN
2020,ALABAMA,AL,BARBOUR,1005,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5622,10518,20210622,TOTAL,0.534512265,0.766212371,REPUBLICAN
2020,ALABAMA,AL,BIBB,1007,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1986,9595,20210622,TOTAL,0.206982804,0.784262637,REPUBLICAN
2020,ALABAMA,AL,BIBB,1007,PRESIDENT,OTHER,OTHER,84,9595,20210622,TOTAL,0.00875456,0.784262637,REPUBLICAN
2020,ALABAMA,AL,BIBB,1007,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7525,9595,20210622,TOTAL,0.784262637,0.784262637,REPUBLICAN
2020,ALABAMA,AL,BLOUNT,1009,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2640,27588,20210622,TOTAL,0.09569378,0.895715528,REPUBLICAN
2020,ALABAMA,AL,BLOUNT,1009,PRESIDENT,OTHER,OTHER,237,27588,20210622,TOTAL,0.008590692,0.895715528,REPUBLICAN
2020,ALABAMA,AL,BLOUNT,1009,PRESIDENT,DONALD J TRUMP,REPUBLICAN,24711,27588,20210622,TOTAL,0.895715528,0.895715528,REPUBLICAN
2020,ALABAMA,AL,BULLOCK,1011,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3446,4613,20210622,TOTAL,0.747019293,0.747019293,DEMOCRAT
2020,ALABAMA,AL,BULLOCK,1011,PRESIDENT,OTHER,OTHER,21,4613,20210622,TOTAL,0.004552352,0.747019293,DEMOCRAT
2020,ALABAMA,AL,BULLOCK,1011,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1146,4613,20210622,TOTAL,0.248428355,0.747019293,DEMOCRAT
2020,ALABAMA,AL,BUTLER,1013,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3965,9488,20210622,TOTAL,0.41789629,0.810192747,REPUBLICAN
2020,ALABAMA,AL,BUTLER,1013,PRESIDENT,OTHER,OTHER,65,9488,20210622,TOTAL,0.006850759,0.810192747,REPUBLICAN
2020,ALABAMA,AL,BUTLER,1013,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5458,9488,20210622,TOTAL,0.575252951,0.810192747,REPUBLICAN
2020,ALABAMA,AL,CALHOUN,1015,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,15216,50983,20210622,TOTAL,0.298452425,0.808152007,REPUBLICAN
2020,ALABAMA,AL,CALHOUN,1015,PRESIDENT,OTHER,OTHER,666,50983,20210622,TOTAL,0.013063178,0.808152007,REPUBLICAN
2020,ALABAMA,AL,CALHOUN,1015,PRESIDENT,DONALD J TRUMP,REPUBLICAN,35101,50983,20210622,TOTAL,0.688484397,0.808152007,REPUBLICAN
2020,ALABAMA,AL,CHAMBERS,1017,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,6365,15284,20210622,TOTAL,0.416448574,0.801450212,REPUBLICAN
2020,ALABAMA,AL,CHAMBERS,1017,PRESIDENT,OTHER,OTHER,166,15284,20210622,TOTAL,0.010861031,0.801450212,REPUBLICAN
2020,ALABAMA,AL,CHAMBERS,1017,PRESIDENT,DONALD J TRUMP,REPUBLICAN,8753,15284,20210622,TOTAL,0.572690395,0.801450212,REPUBLICAN
2020,ALABAMA,AL,CHEROKEE,1019,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1624,12301,20210622,TOTAL,0.132021787,0.860336558,REPUBLICAN
2020,ALABAMA,AL,CHEROKEE,1019,PRESIDENT,OTHER,OTHER,94,12301,20210622,TOTAL,0.007641655,0.860336558,REPUBLICAN
2020,ALABAMA,AL,CHEROKEE,1019,PRESIDENT,DONALD J TRUMP,REPUBLICAN,10583,12301,20210622,TOTAL,0.860336558,0.860336558,REPUBLICAN
2020,ALABAMA,AL,CHILTON,1021,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3073,19310,20210622,TOTAL,0.159140342,0.832988089,REPUBLICAN
2020,ALABAMA,AL,CHILTON,1021,PRESIDENT,OTHER,OTHER,152,19310,20210622,TOTAL,0.007871569,0.832988089,REPUBLICAN
2020,ALABAMA,AL,CHILTON,1021,PRESIDENT,DONALD J TRUMP,REPUBLICAN,16085,19310,20210622,TOTAL,0.832988089,0.832988089,REPUBLICAN
2020,ALABAMA,AL,CHOCTAW,1023,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3127,7464,20210622,TOTAL,0.418944266,0.710632252,REPUBLICAN
2020,ALABAMA,AL,CHOCTAW,1023,PRESIDENT,OTHER,OTHER,41,7464,20210622,TOTAL,0.005493033,0.710632252,REPUBLICAN
2020,ALABAMA,AL,CHOCTAW,1023,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4296,7464,20210622,TOTAL,0.575562701,0.710632252,REPUBLICAN
